hcid,padrow,pad,ADC_sum,adc_0,adc_1,adc_2,adc_3,adc_4,adc_5,adc_6,adc_7,adc_8,adc_9,adc_10,adc_11,adc_12,adc_13,adc_14,adc_15,adc_16,adc_17,adc_18,adc_19,adc_20,adc_21,adc_22,adc_23,adc_24,adc_25,adc_26,adc_27,adc_28,adc_29
115,2,142,404,9,9,10,10,8,12,8,11,9,10,10,7,9,8,10,10,18,28,27,25,24,20,16,17,15,13,16,13,11,11
115,2,141,679,10,9,9,11,9,11,9,10,11,10,11,9,10,9,9,11,17,40,48,55,62,64,53,41,34,25,23,21,21,17
115,2,140,400,11,8,13,10,9,6,9,9,9,13,11,9,10,10,9,8,10,13,14,14,26,32,27,20,17,16,15,15,14,13
121,12,78,789,32,66,61,48,43,38,33,28,23,23,25,27,26,28,24,24,24,20,16,20,20,21,19,14,15,14,14,15,15,13
121,12,77,2404,60,159,149,110,108,109,88,72,58,62,78,105,107,105,101,91,83,73,69,79,97,88,70,59,49,42,37,35,32,29
121,12,76,800,13,26,23,21,21,21,21,17,16,17,22,30,31,36,35,33,30,31,28,38,51,47,36,31,23,23,22,20,18,19
123,11,74,371,9,11,11,10,11,10,11,8,9,12,9,13,12,10,9,10,10,12,12,13,14,24,23,19,17,13,14,13,13,9
123,11,77,490,11,17,21,20,17,17,20,22,17,18,19,21,25,19,19,16,15,16,14,16,15,14,14,14,14,12,12,13,12,10
123,11,76,4300,47,112,143,164,138,109,141,161,134,152,160,227,258,190,140,115,112,120,110,104,163,314,282,187,127,100,86,75,68,61
123,11,75,3269,26,50,67,76,64,53,74,88,76,91,99,149,175,130,96,81,82,93,86,77,163,347,311,201,132,99,82,76,65,60
127,11,72,380,7,9,10,10,11,12,8,12,15,16,14,14,15,12,13,12,15,15,18,19,15,16,13,14,12,12,11,11,9,10
126,11,72,380,7,9,10,10,11,12,8,12,15,16,14,14,15,12,13,12,15,15,18,19,15,16,13,14,12,12,11,11,9,10
126,11,71,2915,26,47,48,41,52,61,71,147,197,209,177,157,141,122,114,98,89,107,172,178,130,101,80,68,61,52,48,44,40,37
127,11,71,2915,26,47,48,41,52,61,71,147,197,209,177,157,141,122,114,98,89,107,172,178,130,101,80,68,61,52,48,44,40,37
126,11,70,2614,48,104,97,77,83,90,95,157,198,201,165,142,121,105,94,78,70,71,94,94,73,61,50,45,42,36,34,33,29,27
126,11,69,352,12,15,15,12,15,14,14,16,14,12,11,12,10,11,11,13,11,13,11,9,12,11,9,9,12,9,10,10,10,9
130,10,62,321,12,8,11,11,13,13,10,9,10,10,9,10,9,8,11,10,10,8,10,11,12,14,12,11,14,11,11,11,12,10
130,10,58,346,16,21,16,13,14,13,14,11,9,14,12,8,11,11,7,11,9,9,12,12,11,12,9,12,8,11,13,7,10,10
130,10,61,1244,10,13,12,12,13,9,13,15,17,22,31,39,37,36,37,56,66,55,65,90,95,102,94,73,59,42,36,35,31,29
130,10,60,3596,165,249,197,147,125,107,122,134,127,144,182,212,180,148,133,140,140,116,104,107,100,94,81,68,59,51,47,43,39,35
130,10,59,2060,231,336,239,158,119,94,79,72,62,59,55,53,50,42,39,38,35,29,29,28,27,24,24,21,23,20,20,18,16,20
134,13,67,289,11,9,8,9,7,11,11,8,9,9,10,10,11,11,11,11,10,9,8,11,10,8,9,10,8,12,8,10,11,9
134,12,68,720,37,91,80,53,38,27,27,29,27,23,21,18,20,18,16,17,16,14,13,14,10,13,11,14,14,13,13,11,12,10
134,12,67,2276,84,231,197,138,105,96,100,136,160,128,100,86,75,66,58,49,49,40,43,42,40,36,35,34,29,27,25,23,23,21
134,12,66,1758,21,41,38,35,31,36,42,72,96,85,70,71,68,64,60,53,49,54,80,99,103,99,89,69,54,44,38,35,32,30
