column;detector;hcid;padrow;position;uncal_slope;slope;uncal_dy;uncal_y;dy;x;y;z
1;531;1062;1;1920;-0.016;0.0176651;-0.22504;25.1953;0.25589;337.775;25.1953;-68.75
1;532;1064;1;2027;-0.015;0.0174472;-0.219705;26.9456;0.265191;350.375;26.9456;-69
1;6;12;12;114;0.022;0.0595858;0.271018;28.6312;0.75965;299.975;28.6312;83.25
1;6;12;12;141;0.052;0.0895858;0.640588;28.9687;1.14212;299.975;28.9687;83.25
2;8;16;11;212;0.046;0.0660243;0.620218;47.851;1.33552;325.175;47.851;92.5
0;11;23;10;1515;0.045;0.0765888;0.685305;74.1373;1.20143;362.975;74.1373;106
0;11;23;10;1523;0.045;0.0765888;0.685305;74.2373;1.20143;362.975;74.2373;106
1;18;36;4;1993;-0.016;0.0222081;-0.197104;26.5187;0.2821;299.975;26.5187;-90.75
1;19;38;4;44;-0.032;0.00450167;-0.412832;27.3531;0.0601912;312.575;27.3531;-90.75
1;19;38;4;68;-0.016;0.0205017;-0.206416;27.6531;0.274125;312.575;27.6531;-90.75
1;20;40;5;180;-0.022;0.0132748;-0.296626;29.451;0.186441;325.175;29.451;-100.5
1;21;42;5;288;-0.006;0.0272345;-0.08439;30.3953;0.397713;337.775;30.3953;-102.75
1;21;42;5;287;-0.007;0.0262345;-0.098455;30.3828;0.38311;337.775;30.3828;-102.75
1;22;44;5;401;-0.008;0.0210212;-0.117176;32.2206;0.34612;350.375;32.2206;-105
1;23;46;5;511;-0.01;0.0214192;-0.15229;33.1873;0.334859;362.975;33.1873;-106
1;66;133;10;2041;0.011;0.0495388;0.135509;99.1187;0.627825;299.975;99.1187;98.25
1;66;133;10;2042;0.012;0.0505388;0.147828;99.1312;0.640498;299.975;99.1312;98.25
1;67;135;9;72;0.016;0.0533491;0.206416;99.7031;0.706185;312.575;99.7031;105.75
1;67;135;9;78;0.021;0.0583491;0.270921;99.7781;0.77237;312.575;99.7781;105.75
1;69;139;9;201;-0.02;0.0142078;-0.2813;101.308;0.206055;337.775;101.308;111.25
1;69;139;9;236;0.004;0.0382078;0.05626;101.745;0.554125;337.775;101.745;111.25
1;70;141;9;350;0.013;0.0458927;0.190411;103.583;0.694963;350.375;103.583;114
1;71;143;8;432;0.009;0.034099;0.137061;104.2;0.625631;362.975;104.2;124
2;72;145;11;1928;0.028;0.0666775;0.344932;115.747;0.84422;299.975;115.747;-49
2;73;147;9;1835;-0.039;-0.00187063;-0.503139;114.101;-0.0247656;312.575;114.101;-31.5
2;73;147;10;1802;-0.061;-0.0238706;-0.786961;113.689;-0.316027;312.575;113.689;-40.5
3;75;151;10;1540;-0.035;-0.00042155;-0.492275;128.433;-0.00609222;337.775;128.433;-40.5
3;75;151;11;1505;-0.038;-0.00342155;-0.53447;127.996;-0.049448;337.775;127.996;-49
2;76;153;9;688;-0.019;0.0142977;-0.278293;125.808;0.215172;350.375;125.808;-31.5
2;76;153;9;730;0.009;0.0422977;0.131823;126.333;0.636556;350.375;126.333;-31.5
2;77;155;8;766;0.029;0.060706;0.441641;126.375;0.94915;362.975;126.375;-22.5
3;120;240;12;682;-0.028;0.0108529;-0.344932;71.7312;0.137284;299.975;71.7313;207.25
3;120;240;12;693;-0.02;0.0188529;-0.24638;71.8687;0.238481;299.975;71.8688;207.25
0;121;243;10;1405;-0.006;0.0321899;-0.077406;72.7656;0.422933;312.575;72.7656;222.25
0;122;245;10;1440;-0.042;-0.00745136;-0.566286;73.601;-0.105654;325.175;73.601;231.5
0;122;245;10;1484;-0.011;0.0235486;-0.148313;74.151;0.333898;325.175;74.151;231.5
0;123;247;10;1600;-0.004;0.0300668;-0.05626;75.1953;0.436532;337.775;75.1953;240.75
0;124;249;10;1677;-0.016;0.0163033;-0.234352;76.5706;0.247549;350.375;76.5707;250
0;125;251;10;1790;-0.017;0.0139788;-0.258893;77.5748;0.219254;362.975;77.5749;253
1;288;576;9;1699;-0.01;0.029047;-0.12319;22.8437;0.363758;299.975;22.8437;-128.25
1;288;576;9;1705;-0.005;0.034047;-0.061595;22.9187;0.426374;299.975;22.9187;-128.25
1;289;578;10;1997;0.001;0.0378905;0.012901;26.1656;0.50556;312.575;26.1656;-135.75
1;290;580;10;206;-0.019;0.0165243;-0.256177;29.776;0.230794;325.175;29.776;-140.5
1;290;580;10;235;0.002;0.0375244;0.026966;30.1385;0.524099;325.175;30.1385;-140.5
1;291;582;10;512;0.01;0.0437371;0.14065;33.1953;0.637899;337.775;33.1953;-145.25
1;292;584;10;770;0.009;0.0395552;0.131823;36.8331;0.622455;350.375;36.8331;-150
2;292;584;10;1378;0.008;0.0385552;0.117176;36.8331;0.606718;350.375;36.8331;-150
2;293;586;11;1524;0.001;0.0322992;0.015229;38.2498;0.507399;362.975;38.2498;-160
2;293;586;11;1549;-0.001;0.0302992;-0.015229;38.5623;0.47598;362.975;38.5623;-160
2;293;586;12;1458;-0.017;0.0142992;-0.258893;37.4248;0.224631;362.975;37.4248;-169
2;293;586;12;1517;0.018;0.0492992;0.274122;38.1623;0.774457;362.975;38.1623;-169
2;293;586;13;1519;-0.035;-0.00370078;-0.533015;38.1873;-0.0581368;362.975;38.1873;-178
2;293;586;13;1532;-0.028;0.00329922;-0.426412;38.3498;0.0518285;362.975;38.3498;-178
2;293;586;14;1629;-0.028;0.00329922;-0.426412;39.5623;0.0518285;362.975;39.5623;-187
2;312;625;10;1617;0.029;0.0675192;0.357251;111.86;0.857611;299.975;111.86;-40.5
2;312;625;10;1623;0.036;0.0745192;0.443484;111.935;0.946524;299.975;111.935;-40.5
2;313;627;10;1746;0.036;0.0732653;0.464436;112.989;0.969856;312.575;112.989;-40.5
2;313;627;10;1737;0.029;0.0662653;0.374129;112.876;0.877193;312.575;112.876;-40.5
2;314;629;10;1784;0.021;0.0562747;0.283143;113.926;0.785538;325.175;113.926;-40.5
2;315;631;11;1910;0.025;0.0589397;0.351625;115.058;0.858199;337.775;115.058;-49
2;316;633;11;2014;0.017;0.0392566;0.248999;116.783;0.769979;350.375;116.783;-49
2;317;635;11;65;0.029;0.0606026;0.441641;117.612;0.945399;362.975;117.612;-49
2;317;635;11;62;0.027;0.0586026;0.411183;117.575;0.914199;362.975;117.575;-49
0;321;642;4;471;-0.02;0.0134797;-0.2813;14.6828;0.195157;337.775;14.6827;-94.25
0;322;644;4;541;-0.015;0.0177636;-0.219705;15.9706;0.26715;350.375;15.9706;-96
0;323;646;5;638;-0.019;0.012369;-0.289351;16.7748;0.193582;362.975;16.7748;-106
2;379;758;6;596;-0.017;0.0193692;-0.219317;52.2531;0.2582;312.575;52.253;-105.75
3;379;758;6;79;-0.036;0.000369188;-0.464436;63.7906;0.00492145;312.575;63.7905;-105.75
3;379;758;6;78;-0.058;-0.0216308;-0.748258;63.7781;-0.288349;312.575;63.778;-105.75
3;379;758;6;342;-0.038;-0.00163081;-0.490238;67.0781;-0.0217395;312.575;67.078;-105.75
3;379;758;7;508;-0.038;-0.00163081;-0.490238;69.1531;-0.0217395;312.575;69.153;-113.25
0;379;759;7;1666;-0.039;-0.00263081;-0.503139;76.0281;-0.03507;312.575;76.028;-113.25
0;379;759;7;1878;-0.038;-0.00163081;-0.490238;78.6781;-0.0217395;312.575;78.678;-113.25
0;379;759;7;340;-0.038;-0.00163081;-0.490238;85.0531;-0.0217395;312.575;85.053;-113.25
1;379;759;8;1487;-0.034;0.00236919;-0.438634;91.7906;0.0315824;312.575;91.7905;-120.75
1;379;759;8;1802;-0.037;-0.000630812;-0.477337;95.7281;-0.00840902;312.575;95.728;-120.75
1;379;759;8;54;-0.038;-0.00163081;-0.490238;99.4781;-0.0217395;312.575;99.478;-120.75
1;468;937;2;355;0.022;0.0608819;0.271018;103.644;0.76519;299.975;103.644;-75.75
1;469;939;3;725;0.063;0.100032;0.812763;107.866;1.33123;312.575;107.866;-83.25
2;471;943;3;2003;0.032;0.0657937;0.45008;116.233;0.958817;337.775;116.233;-85.75
2;472;945;4;246;0.023;0.0563304;0.336881;120.283;0.845471;350.375;120.283;-96
2;472;945;4;282;0.048;0.0813304;0.703056;120.733;1.2207;350.375;120.733;-96
0;108;216;15;1678;-0.024;0.014073;-0.295656;4.58122;0.178357;299.975;4.58118;-173.25
1;186;372;15;408;0.063;0.101956;0.776097;32.3062;1.29167;299.975;32.3062;60.75
3;189;378;14;289;0.047;0.0809693;0.661055;66.4078;1.17515;337.775;66.4078;68.75
0;312;624;2;604;-0.029;0.00951922;-0.357251;16.7975;0.120911;299.975;16.7974;31.5
0;312;624;2;610;-0.025;0.0135192;-0.307975;16.8725;0.171718;299.975;16.8724;31.5
0;313;626;2;684;-0.028;0.00926525;-0.361228;17.3137;0.12265;312.575;17.3136;31.5
0;313;626;2;694;-0.02;0.0172653;-0.25802;17.4387;0.22855;312.575;17.4386;31.5
1;314;628;1;1401;-0.019;0.0162747;-0.256177;19.1386;0.227178;325.175;19.1385;40.5
1;315;630;1;1533;-0.016;0.0179397;-0.22504;20.3458;0.261213;337.775;20.3457;40.5
1;315;630;1;1532;-0.017;0.0169397;-0.239105;20.3333;0.246652;337.775;20.3332;40.5
1;316;632;1;1613;-0.019;0.00325655;-0.278293;21.7706;0.0638741;350.375;21.7706;40.5
1;316;632;1;1612;-0.019;0.00325655;-0.278293;21.7581;0.0638741;350.375;21.7581;40.5
1;317;634;1;1711;-0.012;0.0196025;-0.182748;22.5873;0.3058;362.975;22.5873;40.5
2;324;649;8;254;0.01;0.049225;0.12319;120.381;0.619105;299.975;120.381;-244.75
3;329;659;8;173;0.059;0.0898146;0.898511;136.962;1.42024;362.975;136.962;-280
3;329;659;10;1811;-0.045;-0.0141854;-0.685305;131.837;-0.224314;362.975;131.837;-298
3;329;659;10;1825;-0.035;-0.00418541;-0.533015;132.012;-0.066184;362.975;132.012;-298
2;329;659;12;1640;-0.064;-0.0331854;-0.974656;111.7;-0.524762;362.975;111.7;-316
